iteration,mean,std,min,max
1,-0.6121354000000001,0.10337205595345529,-0.8046019999999978,-0.505194
2,-0.5496528000000004,0.026192147138662462,-0.5767579999999998,-0.505194
3,-0.5046270000000002,0.054607153729565885,-0.5767579999999998,-0.39904999999999996
4,-0.4782194000000005,0.04782639618035205,-0.5767579999999998,-0.39904999999999996
5,-0.47166540000000035,0.051928253384838495,-0.5767579999999998,-0.39904999999999996
6,-0.47166540000000035,0.051928253384838495,-0.5767579999999998,-0.39904999999999996
7,-0.4642964000000004,0.038969416210949605,-0.5092060000000007,-0.39904999999999996
8,-0.45620940000000043,0.04025054748061099,-0.5092060000000007,-0.39904999999999996
9,-0.4466226000000004,0.03688067321692153,-0.49781600000000137,-0.39904999999999996
10,-0.44559480000000046,0.0359778923748092,-0.49781600000000137,-0.39904999999999996
11,-0.44443800000000044,0.03726673837798729,-0.49781600000000137,-0.39904999999999996
12,-0.4366584000000004,0.0365429840756821,-0.4739900000000005,-0.38016599999999956
13,-0.4309506000000004,0.034781983485068196,-0.4739900000000005,-0.38016599999999956
14,-0.4309506000000004,0.034781983485068196,-0.4739900000000005,-0.38016599999999956
15,-0.4230564000000004,0.03047480554746118,-0.4725340000000006,-0.38016599999999956
16,-0.42023040000000006,0.032673316272865495,-0.4692140000000003,-0.3775699999999985
17,-0.4184624,0.030105692393448062,-0.4536979999999999,-0.3775699999999985
18,-0.4170185999999999,0.029774262906074208,-0.4536979999999999,-0.3775699999999985
19,-0.4161099999999999,0.03024220814983266,-0.4536979999999999,-0.3775699999999985
20,-0.4027849999999996,0.028369906736227548,-0.4535960000000013,-0.37215200000000037
21,-0.40271459999999965,0.028433075576010762,-0.4535960000000013,-0.37215200000000037
22,-0.40271459999999965,0.028433075576010762,-0.4535960000000013,-0.37215200000000037
23,-0.39993359999999956,0.02390255937574733,-0.4469419999999997,-0.37215200000000037
24,-0.39839219999999964,0.024522052758917338,-0.4469419999999997,-0.37215200000000037
25,-0.3982385999999996,0.024658234109071808,-0.4469419999999997,-0.37215200000000037
26,-0.3976997999999997,0.023862794200736302,-0.4454100000000012,-0.37215200000000037
27,-0.3969147999999996,0.022388114727834522,-0.4381640000000001,-0.3715480000000005
28,-0.39582699999999965,0.02362752348427594,-0.4381640000000001,-0.3672339999999999
29,-0.39582699999999965,0.02362752348427594,-0.4381640000000001,-0.3672339999999999
30,-0.3921935999999998,0.02528253422248469,-0.4381640000000001,-0.3564460000000004
31,-0.3913525999999997,0.02479656829393038,-0.4381640000000001,-0.3564460000000004
32,-0.38642679999999985,0.027934002031773188,-0.4381640000000001,-0.3408880000000004
33,-0.38603379999999987,0.02749642967449491,-0.4381640000000001,-0.3408880000000004
34,-0.38053299999999995,0.023581107904422118,-0.42140599999999984,-0.3408880000000004
35,-0.3781401999999998,0.023934299747433583,-0.42140599999999984,-0.3408880000000004
36,-0.37512439999999997,0.024269537885084687,-0.41777800000000076,-0.3408880000000004
37,-0.37421159999999987,0.022601372737070496,-0.41203800000000046,-0.3408880000000004
38,-0.37414059999999993,0.02263011957645025,-0.41203800000000046,-0.3408880000000004
39,-0.37255779999999994,0.02039102271861581,-0.41203800000000046,-0.3408880000000004
40,-0.3723863999999999,0.02020814633975325,-0.41203800000000046,-0.3408880000000004
41,-0.37151219999999996,0.02092088541678423,-0.41203800000000046,-0.3408880000000004
42,-0.37151219999999996,0.02092088541678423,-0.41203800000000046,-0.3408880000000004
43,-0.3713726,0.020940689685129323,-0.41203800000000046,-0.3408880000000004
44,-0.37117239999999996,0.020985273054109854,-0.41203800000000046,-0.3408880000000004
45,-0.36937640000000005,0.019826059883115605,-0.41203800000000046,-0.3408880000000004
46,-0.36833119999999997,0.017461626631623192,-0.40158599999999967,-0.3408880000000004
47,-0.36833119999999997,0.017461626631623192,-0.40158599999999967,-0.3408880000000004
48,-0.36651339999999993,0.015688274745455043,-0.40158599999999967,-0.3408880000000004
49,-0.36327160000000003,0.009927317184863454,-0.3731480000000004,-0.3408880000000004
50,-0.36327160000000003,0.009927317184863454,-0.3731480000000004,-0.3408880000000004
51,-0.3623792,0.009323594023288792,-0.3728859999999991,-0.3408880000000004
52,-0.3600774,0.01190652598087821,-0.3728859999999991,-0.3388960000000003
53,-0.35949120000000007,0.011336504270129473,-0.36916800000000016,-0.3388960000000003
54,-0.3578988,0.011515666129234504,-0.36916800000000016,-0.3388960000000003
55,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
56,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
57,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
58,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
59,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
60,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
61,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
62,-0.35721060000000004,0.012899936986926116,-0.36916800000000016,-0.3320140000000004
63,-0.3566222,0.012520557795526074,-0.36916800000000016,-0.3320140000000004
64,-0.3562211999999999,0.012307368712369818,-0.36916800000000016,-0.3320140000000004
65,-0.35494859999999995,0.011447833062296946,-0.36558000000000035,-0.3320140000000004
66,-0.35472819999999994,0.011269239487304282,-0.36558000000000035,-0.3320140000000004
67,-0.35472819999999994,0.011269239487304282,-0.36558000000000035,-0.3320140000000004
68,-0.35472819999999994,0.011269239487304282,-0.36558000000000035,-0.3320140000000004
69,-0.35452139999999993,0.011392591590834437,-0.36558000000000035,-0.3320140000000004
70,-0.3541653999999999,0.011217123103144891,-0.3644099999999999,-0.3320140000000004
71,-0.35406259999999995,0.011445081623901664,-0.3644099999999999,-0.3309860000000008
72,-0.3534999999999999,0.011071981534987509,-0.3644099999999999,-0.3309860000000008
73,-0.35304839999999993,0.010805104793568374,-0.3644099999999999,-0.3309860000000008
74,-0.35304839999999993,0.010805104793568374,-0.3644099999999999,-0.3309860000000008
75,-0.35304839999999993,0.010805104793568374,-0.3644099999999999,-0.3309860000000008
76,-0.3527949999999999,0.010735953230979155,-0.3644099999999999,-0.3309860000000008
77,-0.3527949999999999,0.010735953230979155,-0.3644099999999999,-0.3309860000000008
78,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
79,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
80,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
81,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
82,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
83,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
84,-0.3521813999999999,0.0109509650533637,-0.3639079999999996,-0.32846000000000086
85,-0.3503996,0.011395966803118055,-0.3639079999999996,-0.32846000000000086
86,-0.34827100000000016,0.01096404873514609,-0.3639079999999996,-0.32846000000000086
87,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
88,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
89,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
90,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
91,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
92,-0.34635180000000027,0.012082533268225403,-0.36079999999999984,-0.3262860000000006
93,-0.3461102000000003,0.01188082486661204,-0.36079999999999984,-0.3262860000000006
94,-0.3457884000000002,0.01244232317714188,-0.36079999999999984,-0.3252420000000004
95,-0.3457884000000002,0.01244232317714188,-0.36079999999999984,-0.3252420000000004
96,-0.3457884000000002,0.01244232317714188,-0.36079999999999984,-0.3252420000000004
97,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
98,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
99,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
100,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
101,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
102,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
103,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
104,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
105,-0.34332760000000034,0.012993135137876042,-0.36079999999999984,-0.3252420000000004
106,-0.3426580000000002,0.012289274637304849,-0.36079999999999984,-0.3252420000000004
107,-0.3426580000000002,0.012289274637304849,-0.36079999999999984,-0.3252420000000004
108,-0.3426580000000002,0.012289274637304849,-0.36079999999999984,-0.3252420000000004
109,-0.3426580000000002,0.012289274637304849,-0.36079999999999984,-0.3252420000000004
110,-0.3426320000000001,0.012293709683320619,-0.36079999999999984,-0.3252420000000004
111,-0.3426320000000001,0.012293709683320619,-0.36079999999999984,-0.3252420000000004
112,-0.3426320000000001,0.012293709683320619,-0.36079999999999984,-0.3252420000000004
113,-0.3426320000000001,0.012293709683320619,-0.36079999999999984,-0.3252420000000004
