Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp474,0,0,0,20,5,15,5,15,5,0,5,-1.3,90,-0.3167,-0.3597,-0.3897,-0.4147,-0.4367
exp397,0,0,0,15,5,5,0,10,0,15,20,-1.3,120,,,,,
exp589,0,5,0,20,0,0,25,0,0,20,20,-1.0,180,-0.3887,-0.4207,-0.4417,-0.4597,-0.4747
exp273,5,0,5,10,0,5,10,10,10,0,15,-1.5,120,-0.3477,-0.3917,-0.4227,-0.4487,-0.4727
exp79,10,0,5,0,5,5,5,35,0,5,0,-1.1,150,-0.4357,-0.5217,-0.5767,-0.6137,-0.6387
exp349,0,0,0,20,5,15,0,15,10,0,5,-1.5,120,-0.2547,-0.2927,-0.3167,-0.3357,-0.3517
exp487,25,0,0,5,0,0,15,5,15,0,5,-1.1,120,-0.6957,-0.7177,-0.7337,-0.7467,-0.7587
exp322,0,10,5,0,5,20,5,10,0,15,0,-1.5,150,-0.4017,-0.4627,-0.5037,-0.5357,-0.5607
exp287,0,5,10,10,0,0,20,5,5,10,5,-1.2,60,-0.3557,-0.3977,-0.4267,-0.4477,-0.4717
exp7,0,0,15,5,20,0,0,5,0,20,5,-1.1,90,-0.4047,-0.4387,-0.4627,-0.4847,-0.5057
exp210,0,10,10,5,0,20,0,10,5,10,0,-1.1,60,-0.4257,-0.4837,-0.5127,-0.5337,-0.5507
exp568,0,20,0,0,5,25,0,20,0,0,0,-1.5,180,-0.4057,-0.4597,-0.5007,-0.5337,-0.5607
exp96,0,0,0,10,0,0,10,15,20,15,0,-1.3,60,-0.7157,-0.7347,-0.7477,-0.7587,-0.7687
exp115,0,0,25,5,0,15,5,15,5,0,0,-1.1,90,-0.5227,-0.5717,-0.5977,-0.6177,-0.6367
exp2,0,5,10,10,0,0,5,15,10,0,15,-1.2,60,-0.7227,-0.7497,-0.7647,-0.7757,-0.7847
exp477,5,5,5,5,5,0,0,25,15,0,5,-1.2,120,-0.6517,-0.6877,-0.7087,-0.7247,-0.7387
exp183,20,0,5,0,5,0,10,20,0,0,10,-1.2,60,-0.5617,-0.6037,-0.6287,-0.6477,-0.6637
exp175,5,5,20,0,5,0,0,10,25,0,0,-1.3,120,-0.7287,-0.7687,-0.7867,-0.8007,-0.8107
exp382,5,5,0,20,0,0,5,0,15,10,10,-1.5,120,-0.3747,-0.4287,-0.4707,-0.5087,-0.5407
exp148,5,5,0,0,5,0,5,30,15,5,0,-1.3,60,-0.6967,-0.7197,-0.7347,-0.7487,-0.7617
exp85,0,5,0,10,0,15,5,10,15,5,5,-1.5,60,-0.5367,-0.5727,-0.5947,-0.6107,-0.6237
exp348,10,0,5,5,15,0,0,5,25,5,0,-1.1,60,-0.7787,-0.8057,-0.8237,-0.8377,-0.8507
exp169,0,0,0,0,30,15,0,0,5,20,0,-1.3,150,-0.1807,-0.2137,-0.2367,-0.2547,-0.2697
exp159,0,0,10,0,0,15,15,0,5,15,10,-1.3,90,-0.4657,-0.5107,-0.5387,-0.5587,-0.5757
exp254,5,0,10,0,15,0,0,0,0,25,15,-1.1,90,-0.5457,-0.5887,-0.6147,-0.6337,-0.6487
exp6,15,0,0,5,0,0,0,0,0,20,30,-1.2,60,-0.5497,-0.5817,-0.6027,-0.6197,-0.6337
exp262,5,5,0,10,0,0,10,20,10,5,5,-1.2,60,-0.7307,-0.7527,-0.7647,-0.7747,-0.7827
exp160,5,5,10,5,5,5,0,0,5,15,15,-1.3,60,-0.4207,-0.4577,-0.4827,-0.5057,-0.5267
exp58,0,0,5,10,0,25,5,0,20,0,5,-1.5,120,-0.6847,-0.7187,-0.7397,-0.7547,-0.7677
exp341,5,15,10,0,5,0,10,15,5,5,0,-1.3,120,-0.6767,-0.7107,-0.7327,-0.7497,-0.7657
exp293,15,5,0,0,0,5,0,10,5,30,0,-1.2,120,-0.7127,-0.7447,-0.7637,-0.7777,-0.7897
exp194,0,15,5,10,0,5,0,0,15,15,5,-1.2,120,-0.6637,-0.6927,-0.7097,-0.7227,-0.7337
exp563,8,0,8,8,8,8,8,15,0,0,7,-1.4,60,-0.3047,-0.3447,-0.3727,-0.3947,-0.4137
exp375,5,5,5,5,0,20,0,0,0,30,0,-1.4,60,-0.4767,-0.5137,-0.5417,-0.5647,-0.5847
exp518,0,0,0,8,0,0,8,0,0,15,39,-1.2,150,-0.1937,-0.2117,-0.2247,-0.2357,-0.2457
exp435,0,0,0,0,5,15,5,15,5,10,15,-1.2,90,-0.3807,-0.4677,-0.5387,-0.5897,-0.6247
exp499,0,10,20,5,0,0,10,15,5,5,0,-1.2,150,-0.5237,-0.5747,-0.6027,-0.6237,-0.6407
exp522,0,0,8,0,8,8,0,15,0,0,31,-1.1,180,-0.2987,-0.3447,-0.3777,-0.4037,-0.4267
exp13,0,0,5,0,0,10,5,35,10,5,0,-1.5,120,-0.6827,-0.7197,-0.7417,-0.7587,-0.7737
exp398,5,0,0,5,15,0,0,10,30,0,5,-1.4,150,,,,,
exp546,0,0,0,8,0,0,0,15,15,0,32,-1.1,180,-0.3217,-0.3637,-0.3907,-0.4117,-0.4297
exp233,5,15,0,10,0,15,0,0,10,10,5,-1.3,60,-0.5597,-0.5997,-0.6247,-0.6447,-0.6607
exp216,5,0,5,0,5,15,10,15,10,0,5,-1.5,60,-0.4987,-0.6047,-0.6507,-0.6777,-0.6977
exp75,0,15,5,0,0,0,5,10,5,5,25,-1.5,150,-0.7747,-0.7977,-0.8117,-0.8227,-0.8327
exp504,8,0,0,0,0,8,8,0,0,15,31,-1.4,60,-0.6387,-0.6977,-0.7327,-0.7567,-0.7757
exp239,5,5,10,0,5,5,20,15,5,0,0,-1.1,90,-0.5557,-0.6077,-0.6367,-0.6567,-0.6727
exp240,5,10,10,0,0,5,5,25,0,0,10,-1.4,150,-0.5497,-0.5947,-0.6237,-0.6457,-0.6677
exp359,20,5,5,5,0,0,10,20,0,0,5,-1.5,150,-0.5037,-0.5717,-0.6127,-0.6407,-0.6627
exp38,15,10,0,5,0,5,0,0,5,15,15,-1.2,60,-0.4997,-0.5347,-0.5577,-0.5757,-0.5907
exp286,0,10,5,0,15,0,5,5,15,0,15,-1.4,150,-0.5897,-0.6527,-0.6857,-0.7167,-0.7347
exp156,5,0,20,0,0,5,5,20,0,0,15,-1.4,120,-0.2837,-0.3497,-0.3767,-0.3987,-0.4157
exp212,0,25,0,10,0,0,0,0,10,25,0,-1.5,150,-0.2407,-0.2737,-0.2997,-0.3217,-0.3397
exp526,8,0,8,8,8,8,0,0,15,0,15,-1.1,60,-0.6047,-0.6487,-0.6737,-0.6917,-0.7067
exp149,15,15,0,0,5,5,0,10,10,0,10,-1.4,60,-0.4937,-0.5527,-0.5857,-0.6127,-0.6337
exp265,0,0,0,0,15,5,0,5,5,10,30,-1.1,120,-0.3997,-0.4527,-0.4867,-0.5127,-0.5377
exp215,5,0,0,0,10,0,10,5,15,0,25,-1.3,60,-0.6327,-0.6717,-0.6967,-0.7167,-0.7367
exp491,10,15,0,5,0,0,5,20,0,5,10,-1.2,90,-0.6267,-0.6537,-0.6727,-0.6877,-0.7017
exp388,10,0,0,0,0,5,5,0,20,15,15,-1.1,60,-0.7097,-0.7617,-0.7977,-0.8277,-0.8547
exp512,0,0,0,0,8,8,0,0,0,15,39,-1.1,90,-0.3177,-0.3417,-0.3567,-0.3707,-0.3817
exp204,5,5,0,15,0,0,5,0,35,5,0,-1.2,120,-0.1537,-0.2527,-0.3107,-0.3457,-0.3677
exp525,0,0,8,8,8,0,0,15,0,0,31,-1.2,90,-0.3397,-0.3747,-0.3987,-0.4187,-0.4367
exp354,5,5,0,5,10,15,5,10,5,5,5,-1.4,60,-0.3677,-0.4297,-0.4767,-0.5117,-0.5397
exp585,0,0,0,0,25,15,0,0,0,30,30,-1.0,180,,,,,
exp90,0,20,5,0,10,0,0,10,10,5,10,-1.5,90,-0.5897,-0.6517,-0.6837,-0.7057,-0.7227
exp290,5,5,5,10,0,0,0,0,20,5,20,-1.3,150,-0.6867,-0.7137,-0.7287,-0.7407,-0.7497
exp95,0,0,0,10,5,5,5,25,10,0,10,-1.2,90,-0.6757,-0.7007,-0.7167,-0.7297,-0.7417
exp489,0,0,20,10,5,5,0,0,10,20,0,-1.3,60,-0.3447,-0.3857,-0.4147,-0.4377,-0.4587
exp1,5,5,0,5,0,10,25,15,0,5,0,-1.2,90,-0.4867,-0.5347,-0.5597,-0.5777,-0.5917
exp511,8,0,0,0,0,0,0,0,15,0,47,-1.2,90,-0.8587,-0.8997,-0.9287,-0.9517,-0.9707
exp247,5,0,0,10,0,0,5,10,15,0,25,-1.1,60,-0.7147,-0.7307,-0.7417,-0.7487,-0.7577
exp528,0,0,8,0,8,0,0,0,15,0,39,-1.5,150,-0.6227,-0.6807,-0.7197,-0.7507,-0.7767
exp307,5,10,5,15,10,0,5,0,20,0,0,-1.5,90,,,,,
exp390,0,0,0,10,0,10,0,5,20,15,10,-1.3,120,-0.6607,-0.7017,-0.7307,-0.7557,-0.7777
exp27,0,0,20,5,0,0,5,5,10,20,5,-1.4,150,-0.3937,-0.4427,-0.4757,-0.5057,-0.5327
exp451,0,0,0,0,0,25,5,5,20,15,0,-1.1,90,-0.5737,-0.6207,-0.6477,-0.6687,-0.6857
exp582,0,30,0,0,20,0,0,0,0,20,20,-1.0,180,-0.5827,-0.6267,-0.6507,-0.6687,-0.6837
exp104,5,5,5,0,5,10,15,10,10,5,0,-1.1,150,-0.4427,-0.5397,-0.5907,-0.6237,-0.6497
exp131,5,15,15,0,0,5,0,5,0,15,10,-1.5,60,-0.6417,-0.6877,-0.7187,-0.7427,-0.7617
exp164,10,0,0,0,0,10,5,25,5,0,15,-1.1,150,-0.4897,-0.5317,-0.5607,-0.5847,-0.6077
exp281,5,0,10,0,25,0,5,0,15,5,5,-1.4,120,-0.4827,-0.5507,-0.6147,-0.6557,-0.6817
exp17,5,5,10,5,0,5,0,5,30,0,5,-1.4,150,-0.7187,-0.7427,-0.7587,-0.7697,-0.7797
exp101,15,0,5,5,15,0,0,5,25,0,0,-1.5,150,-0.6697,-0.7517,-0.7927,-0.8197,-0.8387
exp385,0,0,10,5,5,0,0,0,35,10,5,-1.2,60,-0.7357,-0.7607,-0.7787,-0.7927,-0.8057
exp140,0,10,0,0,15,5,15,10,0,10,5,-1.2,60,-0.3907,-0.4677,-0.5077,-0.5337,-0.5527
exp323,10,5,20,5,5,0,0,5,5,15,0,-1.4,150,0.0033,-0.3507,-0.3797,-0.4027,-0.4237
exp519,8,0,0,0,0,0,8,15,0,0,39,-1.2,180,-0.7647,-0.7897,-0.8087,-0.8247,-0.8387
exp113,5,15,10,15,0,0,0,5,20,0,0,-1.3,60,-0.7387,-0.7567,-0.7697,-0.7807,-0.7897
exp418,0,10,5,15,10,5,0,5,15,5,0,-1.1,90,-0.3217,-0.3697,-0.4027,-0.4287,-0.4507
exp361,5,20,0,0,0,5,15,10,0,15,0,-1.2,60,-0.5667,-0.5987,-0.6207,-0.6387,-0.6537
exp297,0,0,5,20,0,5,0,0,40,0,0,-1.2,120,,,,,
exp407,20,0,0,10,0,0,10,10,15,5,0,-1.2,60,-0.6727,-0.7027,-0.7197,-0.7337,-0.7457
exp312,0,5,20,5,5,0,15,0,10,10,0,-1.1,90,,,,,
exp449,5,10,0,15,0,0,0,15,15,10,0,-1.1,150,-0.3747,-0.4377,-0.4817,-0.5167,-0.5457
exp124,0,5,5,35,0,0,0,10,10,5,0,-1.2,150,-0.2517,-0.2887,-0.3147,-0.3337,-0.3507
exp182,10,0,5,35,0,0,0,0,15,5,0,-1.5,90,-0.3427,-0.3887,-0.4207,-0.4467,-0.4697
exp346,25,0,10,0,5,0,5,0,0,25,0,-1.5,60,-0.8107,-0.8487,-0.8757,-0.8977,-0.9167
exp261,0,0,10,5,5,5,0,5,0,15,25,-1.3,60,-0.4017,-0.4507,-0.4867,-0.5157,-0.5397
exp445,20,0,15,5,0,0,10,5,5,10,0,-1.1,120,-0.6117,-0.6517,-0.6767,-0.6977,-0.7157
exp225,10,10,0,10,0,10,0,10,15,5,0,-1.3,90,,,,,
exp170,10,0,5,5,0,10,5,0,0,20,15,-1.3,120,-0.2747,-0.3007,-0.3187,-0.3347,-0.3457
exp12,0,0,0,10,10,20,0,10,0,10,10,-1.1,150,-0.3167,-0.3557,-0.3837,-0.4057,-0.4247
exp249,0,0,0,10,0,5,5,25,15,5,5,-1.5,60,-0.6557,-0.6797,-0.6947,-0.7047,-0.7157
exp259,20,5,10,5,0,0,5,5,20,0,0,-1.3,120,-0.7797,-0.8017,-0.8147,-0.8267,-0.8347
exp285,5,0,0,15,0,10,0,0,5,15,20,-1.1,60,-0.2727,-0.2927,-0.3037,-0.3137,-0.3227
exp580,0,0,0,0,20,0,30,15,0,5,5,-1.5,180,-0.3467,-0.3937,-0.4307,-0.4637,-0.4897
exp118,5,5,5,5,0,5,0,10,20,5,10,-1.2,90,-0.7227,-0.7457,-0.7597,-0.7707,-0.7817
exp596,0,5,0,0,0,15,0,0,0,20,50,-1.5,60,-0.6477,-0.6847,-0.7087,-0.7287,-0.7457
exp186,0,5,10,10,0,10,0,15,5,5,10,-1.1,60,-0.5887,-0.6337,-0.6547,-0.6697,-0.6807
exp271,10,0,10,5,15,0,0,0,15,10,5,-1.5,60,-0.6217,-0.6807,-0.7117,-0.7377,-0.7587
exp97,5,0,15,0,5,5,0,0,10,10,20,-1.1,150,-0.7987,-0.8447,-0.8727,-0.8937,-0.9127
exp381,5,5,0,5,20,0,10,15,0,5,5,-1.3,60,-0.6277,-0.6647,-0.6867,-0.7037,-0.7167
exp63,10,0,10,0,0,20,10,0,10,10,0,-1.1,150,-0.6777,-0.7157,-0.7397,-0.7597,-0.7757
exp332,0,5,5,0,25,5,0,10,0,15,5,-1.4,120,-0.2327,-0.2697,-0.2937,-0.3137,-0.3317
exp28,0,0,0,5,5,15,0,5,40,0,0,-1.3,150,-0.6307,-0.6817,-0.7097,-0.7317,-0.7487
exp292,0,0,10,5,5,10,0,10,10,20,0,-1.1,150,-0.5097,-0.5907,-0.6307,-0.6547,-0.6717
exp583,0,0,0,0,5,45,0,0,0,20,20,-1.0,60,-0.5007,-0.5277,-0.5497,-0.5687,-0.5877
exp56,0,0,10,10,0,0,0,20,5,5,20,-1.1,90,-0.5497,-0.6217,-0.6487,-0.6667,-0.6797
exp376,0,0,5,0,10,5,15,10,5,15,5,-1.1,90,-0.4137,-0.4807,-0.5207,-0.5507,-0.5747
exp201,5,20,0,5,0,20,0,15,0,5,0,-1.4,90,-0.4577,-0.5097,-0.5387,-0.5597,-0.5777
exp206,10,0,10,0,0,15,0,25,5,5,0,-1.4,60,-0.6717,-0.7097,-0.7337,-0.7517,-0.7677
exp377,0,15,0,0,0,0,5,10,5,25,10,-1.5,150,-0.7887,-0.8277,-0.8537,-0.8737,-0.8907
exp213,0,5,0,25,5,10,0,15,10,0,0,-1.3,60,-0.3417,-0.4167,-0.4757,-0.5287,-0.5717
exp538,0,0,0,8,8,8,0,15,15,0,16,-1.5,90,-0.3187,-0.3687,-0.4027,-0.4297,-0.4527
exp92,10,5,5,0,0,15,15,10,5,5,0,-1.3,120,,,,,
exp315,0,35,0,0,0,0,0,15,5,15,0,-1.3,60,,,,,
exp516,8,0,8,8,8,0,0,15,15,0,8,-1.5,180,-0.2657,-0.3107,-0.3397,-0.3637,-0.3827
exp433,5,0,10,5,0,0,10,20,20,0,0,-1.1,120,-0.7317,-0.7547,-0.7697,-0.7817,-0.7927
exp406,20,0,0,15,0,5,0,20,0,10,0,-1.3,60,-0.4737,-0.5437,-0.5787,-0.6017,-0.6197
exp446,5,0,0,0,0,5,20,5,30,5,0,-1.3,60,-0.6777,-0.7077,-0.7287,-0.7467,-0.7627
exp430,0,5,5,0,10,20,0,20,0,0,10,-1.3,120,-0.3187,-0.3667,-0.4007,-0.4287,-0.4527
exp547,0,0,8,0,0,0,0,15,15,0,32,-1.4,60,-0.7807,-0.7987,-0.8117,-0.8217,-0.8307
exp246,5,0,0,0,10,5,5,0,25,5,15,-1.4,60,-0.6127,-0.6537,-0.6767,-0.6917,-0.7047
exp311,0,0,25,5,0,5,0,5,0,25,5,-1.2,60,-0.5497,-0.5967,-0.6227,-0.6437,-0.6567
exp203,0,0,10,0,20,15,0,10,10,0,5,-1.2,90,-0.3917,-0.4557,-0.4957,-0.5267,-0.5547
exp540,0,0,0,8,0,8,8,15,15,15,1,-1.4,180,-0.6237,-0.6457,-0.6597,-0.6697,-0.6787
exp479,0,5,5,5,5,15,5,5,5,10,10,-1.5,120,-0.3707,-0.4357,-0.4807,-0.5147,-0.5427
exp229,10,10,0,5,0,10,0,5,5,20,5,-1.5,90,,,,,
exp379,10,0,10,15,0,10,0,15,0,5,5,-1.5,60,-0.3777,-0.4297,-0.4677,-0.4997,-0.5267
exp178,10,5,15,5,0,10,0,15,5,5,0,-1.5,60,-0.4757,-0.5267,-0.5637,-0.5927,-0.6127
exp282,0,10,5,10,10,0,5,30,0,0,0,-1.1,120,-0.6297,-0.6727,-0.6987,-0.7187,-0.7357
exp16,10,0,0,0,0,5,20,10,15,5,5,-1.3,120,-0.6987,-0.7487,-0.7837,-0.8117,-0.8357
exp497,0,0,5,25,0,5,5,10,0,10,10,-1.1,60,-0.4567,-0.5257,-0.5637,-0.5887,-0.6077
exp486,0,5,0,20,0,10,10,5,0,15,5,-1.4,90,-0.3447,-0.3927,-0.4257,-0.4517,-0.4727
exp425,15,15,0,5,0,0,5,10,5,5,10,-1.2,90,-0.6367,-0.6647,-0.6837,-0.6997,-0.7127
exp500,0,5,25,10,0,10,0,0,10,10,0,-1.4,60,-0.3787,-0.4077,-0.4287,-0.4467,-0.4627
exp276,25,0,0,10,0,0,0,15,10,10,0,-1.3,60,-0.6837,-0.7047,-0.7177,-0.7267,-0.7387
exp77,0,5,5,15,10,10,0,5,5,10,5,-1.5,60,-0.3337,-0.3747,-0.4047,-0.4287,-0.4487
exp157,0,15,5,0,5,15,0,5,15,5,5,-1.2,150,-0.2427,-0.2967,-0.3297,-0.3517,-0.3677
exp329,0,0,10,0,10,15,5,20,5,0,5,-1.5,60,-0.3237,-0.3727,-0.4087,-0.4367,-0.4607
exp126,5,0,0,5,30,10,0,0,20,0,0,-1.3,120,-0.6217,-0.6677,-0.6947,-0.7137,-0.7277
exp34,0,0,5,15,5,0,15,15,10,5,0,-1.3,150,-0.4127,-0.4857,-0.5327,-0.5627,-0.5847
exp559,8,8,0,8,0,8,8,0,0,7,23,-1.1,180,-0.3217,-0.3427,-0.3597,-0.3747,-0.3877
exp94,10,5,5,5,5,0,0,35,0,5,0,-1.4,90,,,,,
exp26,20,0,5,20,5,0,0,5,5,10,0,-1.3,60,-0.6417,-0.6747,-0.6937,-0.7077,-0.7187
exp453,5,10,5,0,0,0,10,20,5,15,0,-1.3,60,-0.6267,-0.6597,-0.6817,-0.6997,-0.7157
exp325,0,0,0,0,0,20,10,40,0,0,0,-1.4,90,-0.5757,-0.6027,-0.6247,-0.6447,-0.6637
exp172,5,10,5,5,25,0,0,0,20,0,0,-1.2,150,-0.6087,-0.6817,-0.7257,-0.7607,-0.7847
exp560,8,0,8,0,0,0,8,0,15,0,31,-1.4,150,-0.8327,-0.8517,-0.8637,-0.8737,-0.8817
exp509,8,0,0,0,8,8,0,0,15,0,31,-1.4,180,-0.4837,-0.5657,-0.6137,-0.6467,-0.6747
exp161,0,20,0,5,5,0,5,25,0,0,10,-1.2,150,-0.2527,-0.2987,-0.3307,-0.3547,-0.3737
exp109,10,10,5,0,15,5,0,0,25,0,0,-1.4,60,-0.4387,-0.4977,-0.5297,-0.5527,-0.5687
exp42,10,0,10,0,0,0,0,0,0,50,0,-1.4,60,-0.6967,-0.7387,-0.7647,-0.7837,-0.7997
exp196,0,10,0,20,5,0,15,15,0,5,0,-1.4,150,-0.2677,-0.3007,-0.3217,-0.3387,-0.3527
exp37,10,5,15,5,0,0,10,10,5,10,0,-1.2,150,-0.7007,-0.7407,-0.7657,-0.7837,-0.7987
exp501,8,0,0,8,8,0,8,0,0,7,31,-1.5,90,-0.4087,-0.4467,-0.4767,-0.5017,-0.5247
exp64,0,5,5,0,5,0,15,15,10,10,5,-1.4,120,-0.4717,-0.5487,-0.5907,-0.6197,-0.6417
exp73,25,0,5,0,0,5,0,5,5,10,15,-1.4,60,-0.7537,-0.7917,-0.8157,-0.8337,-0.8497
exp542,8,0,0,8,0,0,8,0,15,0,31,-1.5,60,-0.6837,-0.6977,-0.7077,-0.7157,-0.7217
exp49,0,0,0,0,0,15,35,5,0,15,0,-1.5,60,-0.6317,-0.6647,-0.6857,-0.7027,-0.7167
exp105,0,0,5,30,10,0,0,0,25,0,0,-1.2,90,-0.3537,-0.3957,-0.4247,-0.4497,-0.4707
exp417,0,5,5,0,10,0,0,10,15,5,20,-1.1,60,,,,,
exp72,0,5,0,0,10,5,15,0,0,20,15,-1.2,60,-0.3647,-0.3957,-0.4137,-0.4287,-0.4407
exp112,0,0,0,0,10,5,20,30,0,0,5,-1.1,120,-0.3647,-0.4277,-0.4657,-0.4947,-0.5177
exp61,10,0,25,0,0,0,5,5,0,20,5,-1.1,120,-0.7227,-0.7517,-0.7697,-0.7837,-0.7957
exp153,0,5,0,10,20,5,0,10,10,5,5,-1.2,60,-0.2197,-0.2607,-0.2897,-0.3127,-0.3327
exp217,10,15,5,0,5,0,0,20,5,0,10,-1.3,60,,,,,
